Dans quel document officiel l'OTAN a-t-elle formellement identifié la dimension cognitive comme le 'sixième domaine de la guerre' ?,Le Warfighting Capstone Concept (NWCC) 2021.
La guerre cognitive marque le passage stratégique du contrôle de l'input (accès aux données) vers le contrôle de quelle étape biologique ?,Le processing (le traitement de l'information par le cerveau).
Quel siège des émotions les neurosciences ciblent-elles pour court-circuiter le raisonnement logique lors d'une attaque cognitive ?,L'amygdale.
"Dans le 'triptyque' de l'influence, quel domaine exploite les failles logicielles du cerveau comme les biais cognitifs et les heuristiques ?",La psychologie comportementale (ou cognitive).
Quelle est la différence fondamentale d'objectif entre les PSYOPS classiques et la guerre cognitive ?,"Les PSYOPS influencent ce que l'on pense, la guerre cognitive altère la façon dont on pense."
"Contrairement aux PSYOPS ponctuelles, quelle est la temporalité d'une manœuvre de guerre cognitive ?","Elle est permanente, diffuse et opère 'en bas bruit' sur le temps long."
Comment se nomme la doctrine russe consistant à faire prendre à l'adversaire une décision pré-déterminée par l'agresseur en toute liberté apparente ?,Le contrôle réflexif (Reflexive Control).
Quel est l'objectif stratégique de la Chine concernant la guerre cognitive avant même tout engagement cinétique ?,Reconfigurer les 'matrices de sens' pour gagner la guerre sans combat physique.
Le processus de décision militaire souvent visé par la saturation d'informations contradictoires est la boucle _____.,"OODA (Observation, Orientation, Décision, Action)."
"Dans l'application de l'attracteur de Lorenz à la guerre cognitive, que représente le paramètre $\sigma$ ?",La vélocité de l'information.
"Dans le modèle épidémiologique SIR appliqué à la désinformation, que détermine le paramètre $R_0$ ?",Le nombre de reproduction de base (si une rumeur s'éteint ou devient exponentielle).
Quelle est la quatrième étape de l'industrialisation de l'influence selon le modèle chinois ?,L'enfermement dans des 'cocons sémantiques' créant une fermeture épistémique.
Définissez le pilier de résilience nommé 'Extensibilité gracieuse' (Graceful Extensibility).,La capacité d'un système à étendre ses réponses sous pression extrême sans s'effondrer.
Comment George Akerlof nomme-t-il le phénomène où l'asymétrie d'information fait disparaître les produits de qualité au profit des mauvais ?,Le marché des 'tacots' (The Market for 'Lemons').
Terme : Sélection adverse. Définition : Asymétrie d'information survenant _____ la conclusion d'un contrat.,Avant (ex ante).
Terme : Aléa moral. Définition : Changement de comportement opportuniste d'un agent se sachant non surveillé _____ la signature d'un contrat.,Après (ex post).
"Selon Shoshana Zuboff, quelle ressource est extraite de l'expérience humaine privée pour alimenter le capitalisme de surveillance ?",Le surplus comportemental.
"Quel type de pouvoir Zuboff oppose-t-elle au totalitarisme, s'appuyant sur une architecture numérique plutôt que sur la terreur physique ?",Le pouvoir instrumentarien.
"Dans le paradoxe antitrust d'Amazon identifié par Lina Khan, quelle pratique consiste à favoriser ses propres marques via ses algorithmes ?",L'auto-préférence (self-preferencing).
Quel concept économique décrit la mutation du capitalisme où des plateformes extraient des rentes en traitant les utilisateurs comme des serfs numériques ?,Le techno-féodalisme.
"Dans la théorie de Susan Strange, quels sont les quatre piliers du pouvoir structurel ?","La sécurité, la finance, la production et le savoir (knowledge)."
L'imposition de biais algorithmiques occidentaux ou chinois sur d'autres cultures est une forme de colonialisme _____.,Épistémique.
"Quelle loi extraterritoriale de 2018 permet aux autorités américaines d'accéder aux données hébergées par des firmes US, même hors de leur sol ?",Le CLOUD Act.
La stratégie hybride russe consistant à masquer les intentions réelles par la déception permanente se nomme la _____.,Maskirovka.
"En 2026, comment nomme-t-on la séquence modulaire de deepfakes conçue par Sensity AI pour produire des effets cognitifs prévisibles ?",La Narrative Kill Chain.
Quel terme décrit le fait qu'un menteur peut nier une preuve authentique en prétendant qu'il s'agit d'une manipulation par IA ?,La prime au menteur (liar's dividend).
Quel pays a modifié l'article 19 de sa Constitution pour protéger explicitement l'intégrité mentale face aux neurotechnologies ?,Le Chili.
L'acronyme FIMI désigne la manipulation de l'information et l'_____ étrangères.,Ingérence.
Quelle agence française est chargée de détecter et caractériser les ingérences numériques étrangères (INE) ?,VIGINUM.
Quel critère de VIGINUM exige une diffusion artificielle (faux comptes ou robots) pour qualifier une ingérence ?,Le comportement inauthentique coordonné.
Le 'prebunking' est une stratégie de défense cognitive basée sur le principe médical de l'_____.,Inoculation (ou vaccination psychologique).
Quel rapport de 2024 a redéfini la sécurité de l'UE comme une responsabilité 'pansociétale' partagée ?,Le rapport Niinistö.
L'usage du droit pour entraver la liberté d'action de l'adversaire ou protéger des opérations hybrides est appelé le _____.,Lawfare.
"En 2026, quelle est la capacité approximative de résolution des interfaces cerveau-machine (BCI) en nombre de canaux ?",Plus de 10 000 canaux.
Quel type de neuro-arme utilise des courants électriques faibles à travers le crâne pour altérer l'activité cérébrale ?,La stimulation transcranienne à courant continu (TDCS).
L'utilisation de systèmes de santé ou de réseaux électriques comme leviers pour faire s'effondrer une société de l'intérieur est une _____ systémique.,Neutralisation.
"Dans le modèle psychométrique OCEAN, quelle dimension mesure la prédisposition à l'anxiété et à la peur, souvent ciblée par l'agresseur ?",Le névrosisme.
Quelle opération consistait à cloner des sites de presse comme 'Le Monde' en changeant une lettre dans l'URL (typosquatting) ?,Doppelgänger (ou Storm-1099).
Quelle opération visait à harceler les fact-checkers par des milliers de requêtes absurdes pour paralyser leur travail ?,Matriochka.
"Selon Yves Citton, comment appelle-t-on le régime où les médias structurent la vie politique plus que les États ou les citoyens ?",La médiarchie.
"Dans la théorie de la guerre hybride, comment appelle-t-on la zone d'action située juste sous le seuil du conflit armé ouvert ?",La zone grise.
Quel est le risque éthique majeur pour une démocratie luttant contre la manipulation cognitive selon le concept du 'paradoxe démocratique' ?,Devenir elle-même un censeur et adopter les méthodes totalitaires qu'elle combat.
Quel programme américain de 2026 vise à créer une réserve stratégique de 60 minéraux critiques face aux contrôles chinois ?,Project Vault.
Quelle technologie permet de financer des proxis ou mercenaires numériques tout en effaçant les traces bancaires ?,La blockchain (ou les cryptomonnaies).
Quel pourcentage du PIB l'OTAN encourage-t-elle à investir dans la défense et la résilience d'ici 2035 ?,5 %.
Le concept de 'Rhinocéros gris' désigne une menace _____ mais que l'on choisit d'ignorer jusqu'à l'impact.,Évidente et hautement probable.
Quelle convergence technologique (NBIC) menace de fusionner l'informatique avec le matériel biologique humain ?,"Nanotechnologies, Biotechnologies, Informatique et sciences Cognitives."
L'utilisation de fréquences micro-ondes pour provoquer des nausées ou une panique physiologique est une tactique de _____.,Neurostrike.
Pourquoi le fardeau de la preuve est-il complexe dans le domaine cognitif devant un tribunal international ?,À cause de la causalité différée et de l'absence de dommage physique direct.
"Dans la guerre hybride, quel est l'effet recherché par l'injection d'une rumeur mineure dans un nœud critique de réseau social ?",L'effet papillon (déclenchement d'un effondrement systémique imprévisible).
Quel concept de psychologie sociale explique le repli sur l'identité intra-groupe et la haine de l'exo-groupe sous l'influence des algorithmes ?,La polarisation affective.
Le droit à la _____ mentale est l'un des cinq neurodroits fondamentaux proposés pour protéger le libre arbitre.,Confidentialité (ou privacité).
Quelle part de la transformation mondiale des terres rares la Chine contrôle-t-elle environ ?,90 %.
L'approche 'tous risques' de la stratégie de préparation de l'UE (2025) signifie qu'elle couvre à la fois les menaces _____ et humaines.,Naturelles.
Quelle image illustre la destruction de la réalité partagée par un agresseur cognitif ?,Le miroir brisé en millions d'éclats.
"Dans le modèle SIR, si le taux de vérification des faits $\gamma$ est trop bas par rapport à $R_0$, que se passe-t-il ?",L'infection cognitive (la rumeur) devient pandémique dans le corps social.
Quel est le but des 'signaux d'erreur' saturés envoyés par un agresseur au cerveau de la victime ?,Forcer une réponse émotionnelle impulsive pilotée par l'amygdale.
Quel pays utilise des systèmes de reconnaissance faciale pour perfectionner ses algorithmes sur des populations africaines (Zimbabwe) ?,La Chine (via l'entreprise CloudWalk).
"L'analyse de 16,8 millions de tweets sur le climat a montré que la haine en ligne était majoritairement _____, et non le fait de bottes.",Organique (proprement humaine).
Quel terme désigne la capacité d'un leader à influencer par l'attrait culturel plutôt que par la force ?,Le Soft Power.
